category,num_books_in_category,avg_price_in_category
academic,1,£13.12
add-a-comment,67,£35.80
adult-fiction,1,£15.36
art,8,£38.52
autobiography,9,£37.05
biography,5,£33.66
business,12,£32.46
childrens,29,£32.64
christian-fiction,6,£34.38
christian,3,£42.50
classics,19,£36.55
contemporary,3,£36.20
crime,1,£10.97
cultural,1,£36.58
default,152,£34.39
erotica,1,£19.19
fantasy,48,£39.59
fiction,65,£36.07
food-and-drink,30,£31.41
health,4,£51.45
historical-fiction,26,£33.64
historical,2,£22.83
history,18,£37.29
horror,17,£35.95
humor,10,£33.50
music,13,£35.64
mystery,32,£31.72
new-adult,6,£46.38
nonfiction,110,£34.26
novels,1,£54.81
paranormal,1,£15.40
parenting,1,£37.35
philosophy,11,£33.56
poetry,19,£35.97
politics,3,£53.61
psychology,7,£34.22
religion,7,£32.57
romance,35,£33.93
science-fiction,16,£33.80
science,14,£33.09
self-help,5,£40.62
sequential-art,75,£34.57
short-stories,1,£35.88
spirituality,6,£35.10
sports-and-games,5,£41.17
suspense,1,£58.33
thriller,11,£31.43
travel,11,£39.79
womens-fiction,17,£36.79
young-adult,54,£35.45
